Sample	featurecounts-Assigned	featurecounts-percent_assigned	bowtie_2_hisat2-overall_alignment_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508	19.531226	77.52067375962106							
SRR1039508_1				50.2958558183271	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039508_2				47.93919565810487	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039508_align			97.06						
SRR1039509	17.907061	78.6147079377185							
SRR1039509_1				49.59447294108932	49.0	63.0	63	0.0	21.155707
SRR1039509_2				46.41559312943577	49.0	63.0	63	9.090909090909092	21.155707
SRR1039509_align			95.95						
SRR1039512	24.335831	80.10532989201045							
SRR1039512_1				56.51450272725296	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039512_2				55.747894652860545	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039512_align			97.75						
SRR1039513	14.648456999999999	81.06674150311689							
SRR1039513_1				48.60897999352113	48.0	63.0	63	0.0	16.823088
SRR1039513_2				47.652357035426064	48.0	63.0	63	0.0	16.823088
SRR1039513_align			97.3						
SRR1039516	23.420050999999997	79.01861856119015							
SRR1039516_1				55.22749823169962	49.0	63.0	63	10.0	27.298969999999997
SRR1039516_2				54.217392002616336	49.0	63.0	63	10.0	27.298969999999997
SRR1039516_align			97.3						
SRR1039517	29.731429	80.48018183478254							
SRR1039517_1				57.04515073211442	49.0	63.0	63	18.181818181818183	34.29826
SRR1039517_2				56.23833820877373	49.0	63.0	63	18.181818181818183	34.29826
SRR1039517_align			97.51						
SRR1039520	18.349591999999998	79.99877579532867							
SRR1039520_1				49.89066831402401	49.0	63.0	63	0.0	21.275888
SRR1039520_2				49.24582424902434	49.0	63.0	63	0.0	21.275888
SRR1039520_align			97.36						
SRR1039521	20.429088999999998	79.84424167784034							
SRR1039521_1				52.31077362666788	49.0	63.0	63	10.0	23.487859999999998
SRR1039521_2				51.3283525441268	49.0	63.0	63	10.0	23.487859999999998
SRR1039521_align			97.16						
