Module	Section	Sample Name	Source
featureCounts	all_sections	SRR1039508	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039509	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039512	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039513	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039516	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039517	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039520	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
featureCounts	all_sections	SRR1039521	/home/priyasanket/projects/airway-dryrun/results/counts/all_samples_counts.txt.summary
Snippy	snippy	multiqc	/home/priyasanket/projects/airway-dryrun/results/qc/multiqc_featurecounts_data/multiqc.log
Bowtie 2 / HiSAT2	all_sections	SRR1039508_align	/mnt/data/airway-dryrun/aligned/SRR1039508_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039509_align	/mnt/data/airway-dryrun/aligned/SRR1039509_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039512_align	/mnt/data/airway-dryrun/aligned/SRR1039512_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039513_align	/mnt/data/airway-dryrun/aligned/SRR1039513_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039516_align	/mnt/data/airway-dryrun/aligned/SRR1039516_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039517_align	/mnt/data/airway-dryrun/aligned/SRR1039517_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039520_align	/mnt/data/airway-dryrun/aligned/SRR1039520_align_summary.txt
Bowtie 2 / HiSAT2	all_sections	SRR1039521_align	/mnt/data/airway-dryrun/aligned/SRR1039521_align_summary.txt
FastQC	all_sections	SRR1039508_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039508_1_fastqc.zip
FastQC	all_sections	SRR1039508_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039508_2_fastqc.zip
FastQC	all_sections	SRR1039509_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039509_1_fastqc.zip
FastQC	all_sections	SRR1039509_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039509_2_fastqc.zip
FastQC	all_sections	SRR1039512_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039512_1_fastqc.zip
FastQC	all_sections	SRR1039512_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039512_2_fastqc.zip
FastQC	all_sections	SRR1039513_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039513_1_fastqc.zip
FastQC	all_sections	SRR1039513_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039513_2_fastqc.zip
FastQC	all_sections	SRR1039516_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039516_1_fastqc.zip
FastQC	all_sections	SRR1039516_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039516_2_fastqc.zip
FastQC	all_sections	SRR1039517_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039517_1_fastqc.zip
FastQC	all_sections	SRR1039517_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039517_2_fastqc.zip
FastQC	all_sections	SRR1039520_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039520_1_fastqc.zip
FastQC	all_sections	SRR1039520_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039520_2_fastqc.zip
FastQC	all_sections	SRR1039521_1	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039521_1_fastqc.zip
FastQC	all_sections	SRR1039521_2	/home/priyasanket/projects/airway-dryrun/results/qc/fastqc_raw/SRR1039521_2_fastqc.zip
